row,table,column_name,data_type,format,hidden
1,callcenterdata,averagecallsperday,Number,,False
2,callcenterdata,callsreceived,Integer,,False
3,callcenterdata,callswithcontent,Integer,,False
4,callcenterdata,callswithemergencysignstotal,Integer,,False
5,callcenterdata,callswithoutemergencysigns,Integer,,False
6,callcenterdata,id,Integer,,False
7,callcenterdata,lastupdatedat,Date,General Date,False
8,callcenterdata,ondutyleader,Integer,,False
9,callcenterdata,operatorleader,Integer,,False
10,callcenterdata,reportfordate,Date,General Date,False
11,callcenterdata,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
12,callcenterdata,totalcalls,Integer,,False
13,callcenterdata,transfertocancerstation,Integer,,False
14,callcenterdata,transfertocangiostation,Integer,,False
15,callcenterdata,transfertodienhongstation,Integer,,False
16,callcenterdata,transfertoeightstation,Integer,,False
17,callcenterdata,transfertothuducstation,Integer,,False
79,callcenterdata_stationtransfer,callCenterData_id,Integer,,False
80,callcenterdata_stationtransfer,date_created,Date,General Date,False
81,callcenterdata_stationtransfer,date_updated,Date,General Date,False
82,callcenterdata_stationtransfer,id,Integer,,False
83,callcenterdata_stationtransfer,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
84,callcenterdata_stationtransfer,station_id,Integer,,False
85,callcenterdata_stationtransfer,transferCount,Integer,,False
86,callcenterdata_stationtransfer,user_updated,Text,,False
112,chi_so,cs24,Number,,False
113,chi_so,cs24cg,Number,,False
114,chi_so,cs24q8,Number,,False
115,chi_so,cs24td,Number,,False
116,chi_so,cs24ub,Number,,False
117,chi_so,cs25,Number,,False
118,chi_so,cs25cg,Number,,False
119,chi_so,cs25q8,Number,,False
120,chi_so,cs25td,Number,,False
121,chi_so,cs25ub,Number,,False
122,chi_so,cs28,Number,,False
123,chi_so,cs29,Number,,False
124,chi_so,cs30,Number,,False
125,chi_so,cs31,Number,,False
126,chi_so,cs32,Number,,False
127,chi_so,cs33,Number,,False
128,chi_so,cs34,Text,,False
129,chi_so,cs35,Number,,False
130,chi_so,cs36,Number,,False
131,chi_so,cs37,Number,,False
132,chi_so,cs38,Number,,False
133,chi_so,cs39,Number,,False
134,chi_so,cs40,Number,,False
135,chi_so,cs41,Number,,False
136,chi_so,cs42,Number,,False
137,chi_so,cs43,Number,,False
138,chi_so,cs44,Number,,False
139,chi_so,cs45,Number,,False
140,chi_so,cs46,Number,,False
141,chi_so,cs47,Number,,False
142,chi_so,cs48,Number,,False
143,chi_so,cs49,Number,,False
144,chi_so,cs50,Number,,False
145,chi_so,cs51,Number,,False
146,chi_so,cs51cg,Number,,False
147,chi_so,cs51q8,Number,,False
148,chi_so,cs51td,Number,,False
149,chi_so,cs51ub,Number,,False
150,chi_so,cs52,Number,,False
151,chi_so,cs52cg,Number,,False
152,chi_so,cs52q8,Number,,False
153,chi_so,cs52td,Number,,False
154,chi_so,cs52ub,Number,,False
155,chi_so,cs53,Number,,False
156,chi_so,cs53cg,Number,,False
157,chi_so,cs53q8,Number,,False
158,chi_so,cs53td,Number,,False
159,chi_so,cs53ub,Number,,False
160,chi_so,datereport,Date,dd-mm-yyyy,False
161,chi_so,id,Integer,,False
162,chi_so,room,Text,,False
163,chi_so,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
269,ChoiseYesterday,Label,Text,,False
270,ChoiseYesterday,Mode,Integer,,False
271,ChoiseYesterday,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
272,DateTable,Date,Date,yyyy-mm-dd,False
273,DateTable,date_,Date,yyyy-mm-dd,False
274,DateTable,FormattedDate,Text,,False
275,DateTable,IsCurrentWeek,Text,,
282,DateTable,IsThisMonth,Integer,,False
283,DateTable,IsToday,Integer,,False
284,DateTable,Month,Text,,False
285,DateTable,MonthNumber,Integer,,False
286,DateTable,Quarter,Text,,False
287,DateTable,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
288,DateTable,Year,Integer,,False
289,DateTable,YearMonth,Text,,False
294,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,Date,Date,,True
295,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,Day,Integer,,True
296,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,Month,Text,,True
297,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,MonthNo,Integer,,True
298,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,Quarter,Text,,True
299,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,QuarterNo,Integer,,True
300,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
301,DateTableTemplate_84b6ab87-67f4-4af6-a1da-de6e9515536f,Year,Integer,,True
302,handlebyarea,byarea,Text,,False
303,handlebyarea,call_center_data_id,Integer,,False
304,handlebyarea,date_created,Date,General Date,False
305,handlebyarea,date_updated,Date,General Date,False
306,handlebyarea,diedpatient,Integer,,False
307,handlebyarea,nolongerneededcalls,Integer,,False
308,handlebyarea,nolongerneededtrip,Integer,,False
309,handlebyarea,othertransfer,Integer,,False
310,handlebyarea,receivedbysatellite,Integer,,False
311,handlebyarea,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
312,handlebyarea,transfertohospitalpatient,Integer,,False
313,handlebyarea,transfertosatellite,Integer,,False
314,handlebyarea,transfertoservice,Integer,,False
315,handlebyarea,tripwithpatient,Integer,,False
328,hospital,api_id,Text,,False
329,hospital,excel_name,Text,,False
330,hospital,id,Integer,,False
331,hospital,is_active,True/False,"TRUE;""TRUE"";""FALSE""",False
332,hospital,name,Text,,False
333,hospital,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
334,KCCNBV,chan_doan_theo_icd,Text,,False
335,KCCNBV,CustomDate,Date,,
344,KCCNBV,dia_chi_cap_cuu,Text,,False
345,KCCNBV,FixDiaChiCapCap,Text,,
387,KCCNBV,GioTaoPhieu,Date,Long Time,False
388,KCCNBV,GioXuatXe,Date,Long Time,False
389,KCCNBV,goi_cap_cuu,Date,hh:nn,False
390,KCCNBV,ma_benh,Text,,False
391,KCCNBV,ngay,Date,yyyy-mm-dd,False
392,KCCNBV,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
393,KCCNBV,so_benh_an,Text,,False
394,KCCNBV,stt,Integer,,False
395,KCCNBV,TgngheDT,Number,,
401,KCCNBV,Tgtaophieu,Number,,
407,KCCNBV,TGTiepnhanCCTB,Number,,
411,KCCNBV,thoi_gian_den_benh_vien,Date,Long Time,False
412,KCCNBV,thoi_gian_den_hien_truong,Date,Long Time,False
413,KCCNBV,thoi_gian_hoan_tat,Date,Long Time,False
414,KCCNBV,thoi_gian_nhan_dien_thoai,Date,hh:nn,False
415,KCCNBV,thoi_gian_tao_phieu_tiep_nhan,Date,hh:nn,False
416,KCCNBV,thoi_gian_tiep_nhan Hour,Integer,,False
417,KCCNBV,thoi_gian_xuat_xe,Date,Long Time,False
418,KCCNBV,ThoiGianHoanTatCa,Date,Long Time,False
419,KCCNBV,ThoiGianNhanCa,Date,hh:nn,False
420,KCCNBV,ThoiGianToiBenhvien,Date,Long Time,False
421,KCCNBV,ThoiGianToiHienTruong,Date,Long Time,False
422,KCCNBV,ThoiLuongDenBenhVien,Number,,
426,KCCNBV,ThoiLuongGiaoBenh,Number,,
447,KCCNBV,ThoiLuongToiHienTruong,Number,,
462,KCCNBV,ThoiLuongXuatXe,Number,,
476,KCCNBV,tram_xu_ly,Text,,False
477,KCCNBV,xu_tri,Text,,False
478,KCCNBV,Xu_tri_fix,Text,,False
704,ListTVT,id,Integer,,
715,ListTVT,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
716,ListTVT,TenTram,Text,,False
717,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,Date,Date,,True
718,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,Day,Integer,,True
719,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,Month,Text,,True
720,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,MonthNo,Integer,,True
721,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,Quarter,Text,,True
722,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,QuarterNo,Integer,,True
723,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
724,LocalDateTable_068f9eaa-b22e-4d2e-a613-65b9323781a3,Year,Integer,,True
725,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,Date,Date,,True
726,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,Day,Integer,,True
727,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,Month,Text,,True
728,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,MonthNo,Integer,,True
729,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,Quarter,Text,,True
730,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,QuarterNo,Integer,,True
731,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
732,LocalDateTable_278f1329-d82c-4b51-bddd-43c8a19938ec,Year,Integer,,True
733,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,Date,Date,,True
734,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,Day,Integer,,True
735,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,Month,Text,,True
736,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,MonthNo,Integer,,True
737,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,Quarter,Text,,True
738,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,QuarterNo,Integer,,True
739,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
740,LocalDateTable_3dd59da2-b452-4508-81bd-9166882fb47a,Year,Integer,,True
741,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,Date,Date,,True
742,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,Day,Integer,,True
743,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,Month,Text,,True
744,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,MonthNo,Integer,,True
745,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,Quarter,Text,,True
746,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,QuarterNo,Integer,,True
747,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
748,LocalDateTable_54a34780-9e13-4683-b9e1-7a2fc564f2c0,Year,Integer,,True
749,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,Date,Date,,True
750,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,Day,Integer,,True
751,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,Month,Text,,True
752,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,MonthNo,Integer,,True
753,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,Quarter,Text,,True
754,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,QuarterNo,Integer,,True
755,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
756,LocalDateTable_55a95fbc-0eed-448e-b592-0fb56277baef,Year,Integer,,True
757,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,Date,Date,,True
758,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,Day,Integer,,True
759,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,Month,Text,,True
760,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,MonthNo,Integer,,True
761,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,Quarter,Text,,True
762,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,QuarterNo,Integer,,True
763,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
764,LocalDateTable_8395d98b-0973-40bb-9955-a4244840503d,Year,Integer,,True
765,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,Date,Date,,True
766,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,Day,Integer,,True
767,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,Month,Text,,True
768,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,MonthNo,Integer,,True
769,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,Quarter,Text,,True
770,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,QuarterNo,Integer,,True
771,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
772,LocalDateTable_c18ce6f6-0491-47a3-94c6-9e88fa6544a3,Year,Integer,,True
773,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,Date,Date,,True
774,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,Day,Integer,,True
775,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,Month,Text,,True
776,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,MonthNo,Integer,,True
777,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,Quarter,Text,,True
778,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,QuarterNo,Integer,,True
779,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
780,LocalDateTable_d7ef6d45-2ab5-4f77-83b8-5205d8f3fca2,Year,Integer,,True
781,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,Date,Date,,True
782,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,Day,Integer,,True
783,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,Month,Text,,True
784,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,MonthNo,Integer,,True
785,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,Quarter,Text,,True
786,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,QuarterNo,Integer,,True
787,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
788,LocalDateTable_e0c78491-5f9e-464a-84a4-06817eada731,Year,Integer,,True
789,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,Date,Date,,True
790,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,Day,Integer,,True
791,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,Month,Text,,True
792,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,MonthNo,Integer,,True
793,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,Quarter,Text,,True
794,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,QuarterNo,Integer,,True
795,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
796,LocalDateTable_ec556f7a-6ecb-42b3-9af9-ed04d1335c0a,Year,Integer,,True
797,ondutyleader,id,Integer,,False
798,ondutyleader,name,Text,,False
799,ondutyleader,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
800,operatorleader,id,Integer,,False
801,operatorleader,name,Text,,False
802,operatorleader,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
803,outofhospitalreport,advicewithoutdispatch,Integer,,False
804,outofhospitalreport,callsfromdispatcher,Integer,,False
805,outofhospitalreport,dispatchedtrips,Integer,,False
806,outofhospitalreport,hospitaltransfer,Integer,,False
807,outofhospitalreport,lastupdatedat,Date,General Date,False
808,outofhospitalreport,patientdeath,Integer,,False
809,outofhospitalreport,receiptscollected,Integer,,False
810,outofhospitalreport,receiptswithoutpayment,Integer,,False
811,outofhospitalreport,reportdate,Date,General Date,False
812,outofhospitalreport,reportingstation,Integer,,False
813,outofhospitalreport,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
814,outofhospitalreport,totalamountcollected,Integer,,False
815,outofhospitalreport,tripswithpatient,Integer,,False
840,receiving_hospital,data_tt,Integer,,False
841,receiving_hospital,data_tvt,Integer,,False
842,receiving_hospital,Date,Date,Short Date,False
843,receiving_hospital,id,Integer,,False
844,receiving_hospital,id_hospital,Integer,,False
845,receiving_hospital,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
846,receiving_hospital,Sum,Integer,,False
850,reportingstation,date_created,Date,General Date,False
851,reportingstation,id,Integer,,False
852,reportingstation,name,Text,,False
853,reportingstation,order,Integer,,False
854,reportingstation,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
855,reportingstation,shortname,Text,,False
856,satellite,area_id,Integer,,False
857,satellite,id,Text,,False
858,satellite,is_active,True/False,"TRUE;""TRUE"";""FALSE""",False
859,satellite,name,Text,,False
860,satellite,owned_by_company,True/False,"TRUE;""TRUE"";""FALSE""",False
861,satellite,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
862,Suco,Công_tác_tại_khoa,Text,,False
863,Suco,Đánh_giá_diễn_biến_tình_huống_của_sự_cố_KCCNBV,Text,,False
864,Suco,Đánh_giá_diễn_biến_tình_huống_của_sự_cố_KDH,Text,,False
865,Suco,MucDo Khoa CCNBV,Text,,
876,Suco,MucDo Khoa ĐH,Text,,
887,Suco,Ngày_báo_cáo,Date,dd-mm-yyyy,False
888,Suco,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
904,tranfer_satellite,accept,Integer,,False
905,tranfer_satellite,Date,Date,Short Date,False
906,tranfer_satellite,deny,Integer,,False
907,tranfer_satellite,id,Integer,,False
908,tranfer_satellite,id_satellite,Text,,False
909,tranfer_satellite,RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61,Integer,,True
